id,country,confirmed,active,deaths,recovered,latitude,longitude,last_update,TYPE
125,Mozambique,17,16,0,1,-18.665695,35.529562,1.59E+12,B
68,Equatorial Guinea,16,13,0,3,1.6508,10.2679,1.59E+12,B
122,Mongolia,16,12,0,4,46.8625,103.8467,1.59E+12,B
126,Namibia,16,13,0,3,-22.9576,18.4904,1.59E+12,B
63,Dominica,15,14,0,1,15.415,-61.371,1.59E+12,A
73,Fiji,15,15,0,0,-17.7134,178.065,1.59E+12,B
102,Laos,15,15,0,0,19.85627,102.495496,1.59E+12,C
105,Liberia,14,8,3,3,6.428055,-9.429499,1.59E+12,B
146,Saint Lucia,14,13,0,1,13.9094,-60.9789,1.59E+12,A
163,Sudan,14,10,2,2,12.8628,30.2176,1.59E+12,B
71,Eswatini,12,8,0,4,-26.5225,31.4659,1.59E+12,B
79,Grenada,12,12,0,0,12.1165,-61.679,1.59E+12,A
158,Somalia,12,10,1,1,5.152149,46.199616,1.59E+12,B
145,Saint Kitts and Nevis,11,11,0,0,17.357822,-62.782998,1.59E+12,A
153,Seychelles,11,11,0,0,-4.6796,55.492,1.59E+12,B
184,Zimbabwe,11,9,2,0,-19.015438,29.154857,1.59E+12,B
50,Chad,10,8,0,2,15.4542,18.7322,1.59E+12,B
164,Suriname,10,6,1,3,3.9193,-56.0278,1.59E+12,A
110,MS Zaandam,9,7,2,0,null,null,1.59E+12,
127,Nepal,9,8,0,1,28.1667,84.25,1.59E+12,B
34,Belize,8,7,1,0,17.1899,-88.4976,1.59E+12,A
49,Central African Republic,8,8,0,0,6.6111,20.9394,1.59E+12,B
112,Malawi,8,7,1,0,-13.254308,34.301525,1.59E+12,B
147,Saint Vincent and the Grenadines,8,7,0,1,12.9843,-61.2872,1.59E+12,A
46,Cabo Verde,7,5,1,1,16.5388,-23.0418,1.59E+12,B
85,Vatican,7,7,0,0,41.9029,12.4534,1.59E+12,C
154,Sierra Leone,7,7,0,0,8.460555,-11.779889,1.59E+12,B
39,Botswana,6,5,1,0,-22.3285,24.6849,1.59E+12,B
117,Mauritania,6,3,1,2,21.0079,-10.9408,1.59E+12,B
129,Nicaragua,6,5,1,0,12.865416,-85.207229,1.59E+12,B
36,Bhutan,5,3,0,2,27.5142,90.4336,1.59E+12,B
75,Gambia,4,1,1,2,13.4432,-15.3101,1.59E+12,B
149,Sao Tome and Principe,4,4,0,0,0.18636,6.613081,1.59E+12,B
182,Western Sahara,4,4,0,0,24.2155,-12.8858,1.59E+12,B
45,Burundi,3,3,0,0,-3.3731,29.9189,1.59E+12,B
136,Papua New Guinea,2,2,0,0,-6.314993,143.95555,1.59E+12,C
160,South Sudan,2,2,0,0,6.877,31.307,1.59E+12,B
169,Timor-Leste,1,1,0,0,-8.874217,125.727539,1.59E+12,A
